package,total_time,parser_time,parser_percentage,average_parser_percentage,geomean_parser_percentage,size
bytestring-0.12.1.0,14027.907,137.09700000000004,0.9773161455946354,3.651075528306964,1.7449317551356411,601933
text-2.1.1,43703.913000000015,251.30700000000002,0.5750217377560676,4.195154959135374,1.7542148154036576,677221
containers-0.7,35825.196,352.882,0.9850106612117348,12.49809362154784,5.397229444522276,889079
mtl-2.3.1,1297.128,14.937000000000001,1.1515440264954577,7.3040632395750436,4.615539603959317,102549
transformers-0.6.1.1,4922.52,59.934,1.2175471100168205,5.449200754779486,2.215854314824151,193438
aeson-2.2.3.0,42405.766,149.066,0.3515229509119114,4.152331350099183,1.3425346778335683,529817
time-1.14,6491.4980000000005,56.531,0.8708467598696017,2.2090609796730516,1.3510596801047972,188785
vector-0.13.1.0,68494.87,275.35600000000005,0.4020096687532951,1.5482091033083794,0.7794712267500266,604457
directory-1.3.8.5,2087.755,22.333,1.0697136397709501,9.235425084417693,3.2247107075007455,172116
filepath-1.5.3.0,2789.2950000000005,52.46799999999999,1.8810487954841626,7.994391574524476,3.8175637927650667,14799
unordered-containers-0.2.20,11256.094000000001,59.06,0.5246935571078208,9.12955775524015,2.4720842087684662,170492
lens-5.3.2,43433.732,411.99,0.9485484691944039,4.01252688927974,1.824908582777123,1109653
deepseq-1.5.0.0,593.272,25.77,4.343707439420704,4.343707439420704,4.343707439420704,29578
array-0.5.7.0,6643.334999999999,69.35199999999998,1.0439335062886335,12.006970887082073,6.2038531106104005,109937
binary-0.8.9.2,8204.223,32.965999999999994,0.40181745425496107,5.50773531908995,1.7441355298175276,105965
process-1.6.20.0,1205.95,19.735,1.6364691736805006,7.227630745745953,3.424600189366796,94737
random-1.2.1.2,8163.831,57.324,0.7021703413507702,0.669267323981918,0.47291638040709383,110842
exceptions-0.10.8,1648.7340000000002,13.236,0.8027977830262493,0.7158723137326931,0.6970713339006958,48993
network-3.2.1.0,4163.342,68.98900000000002,1.657058199878848,4.796818481028647,2.5420162615009008,189953
stm-2.5.3.1,591.341,17.148,2.8998496637304023,6.12651883356236,4.019257318797369,43750
parsec-3.1.17.0,10138.322,34.209,0.3374227017054696,4.832659572759621,2.128248768211089,128407
semigroups-0.20,111.19200000000001,1.523,1.3697028563205984,1.3697028563205984,1.3697028563205984,3595
http-types-0.12.4,1946.045,11.589,0.5955155199391586,2.914398730715162,0.8865813274090225,61112
data-default-0.7.1.1,97.35300000000001,0.162,0.16640473329019137,0.16640473329019137,0.16640473329019137,1870
QuickCheck-2.15.0.1,10893.679,81.712,0.7500863574188298,4.735026804727653,1.597524482140788,222537
unix-2.8.5.1,5643.287,155.38200000000003,2.753395317303551,4.528281606021162,2.9153810874430306,447068
conduit-1.3.5,8902.158000000001,96.29,1.081647843140955,5.31184757618243,2.5357187953848674,265987
http-client-0.7.17,5952.8769999999995,42.004000000000005,0.7056083974185928,1.8535578280134761,1.0818073052214787,181713
utf8-string-1.0.2,2301.075,64.04299999999999,2.783177427941288,3.6236777671700167,2.507373975345421,41444
primitive-0.9.0.0,5377.08,77.83000000000001,1.4474398744299883,3.999969971416315,2.608100271219234,203105
monad-control-1.0.3.1,351.829,25.405,7.220837395439261,7.220837395439261,7.220837395439261,32907
split-0.2.5,368.805,5.739,1.5561068857526335,8.787821080137782,4.85056218759816,29052
async-2.2.5,1110.434,25.307,2.2790188340774864,11.967054720404482,6.9618562067084895,37119
resourcet-1.3.0,991.0840000000001,11.235999999999999,1.1337081417922192,2.3625681769168088,1.97227805848035,34580
scientific-0.3.8.0,3240.094,16.127000000000002,0.49773247319367897,1.8919355399933722,0.7719208083549371,51181
wai-3.2.4,389.553,3.9130000000000003,1.004484627252261,1.1233856918902188,0.8780758298174628,29134
cereal-0.5.8.3,6884.66,26.085,0.3788858128070232,0.49986145130138915,0.4721826140246839,66639
pretty-1.1.3.6,1885.092,42.535999999999994,2.256441595423459,10.767553129654408,4.436353064486382,69302
transformers-base-0.4.6,252.971,19.228,7.600871246111216,7.600871246111216,7.600871246111216,3307
safe-0.3.21,890.892,11.832999999999998,1.3282193576774735,1.7639331788446362,1.6469699227427268,32072
optparse-applicative-0.18.1.0,3474.365,30.232000000000003,0.8701446163543556,2.489384102765802,1.3557069347875192,107244
amazonka-core-2.0,9518.415,50.26499999999999,0.5280816186308329,1.4852330911435172,0.8774724741855212,147330
base64-bytestring-1.2.1.0,634.077,11.562,1.8234378474538582,3.0517773496346248,2.7761167574809806,28046
tagged-0.8.8,922.0809999999999,23.656000000000002,2.565501295439338,5.103957496220932,2.7550502067024234,17954
